Input_Task,Reasoning_Prompts
Rewrite the Competitor Analysis section in legal_v4.docx and then make text red.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='make text red')."
Find the slide about Competitor Analysis in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the Competitor Analysis section in report_2026.pdf and then make text red.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='make text red')."
Locate the Budget slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Rewrite the Safety Protocols section in contract.docx and then make text red.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='contract.docx', request='make text red')."
"I need a new slide for AI Ethics at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='AI Ethics')."
"I need a new slide for Q3 Revenue at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
Locate the Competitor Analysis slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Competitor Analysis')."
Find the slide about Q3 Revenue in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Q3 Revenue') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the AI Ethics section in manual.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='manual.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='manual.docx', request='bold all headers')."
